x,y,z,surface_code
5822583.7,2092054.6,-128.3258334,Middle aquitard
5822583.7,2092054.6,-190.31583339999997,400ft aquifer
5822583.7,2092054.6,-229.05583339999998,Deep aquitard
5824475.7,2092267.1,15.939025099999995,180ft aquifer
5824475.7,2092267.1,-176.86097490000003,Middle aquitard
5824475.7,2092267.1,-245.2709749,400ft aquifer
5824475.7,2092267.1,-460.6209749,Deep aquitard
5826518.7,2089162.2,64.5239195,180ft aquifer
5826518.7,2089162.2,-29.336080499999994,Middle aquitard
5826518.7,2089162.2,-87.03608050000001,400ft aquifer
5826518.7,2089162.2,-191.39608050000004,Deep aquitard
5888462.3,2025274.4,205.77787030000002,180ft aquifer
5888462.3,2025274.4,122.96787030000002,Middle aquitard
5888462.3,2025274.4,11.927870300000023,400ft aquifer
5888462.3,2025274.4,-16.9221297,Deep aquitard
5822092.2,2089165.4,56.66856740000001,Salinas aquitard
5822092.2,2089165.4,11.568567400000006,180ft aquifer
5822092.2,2089165.4,-75.71143259999998,Middle aquitard
5822092.2,2089165.4,-194.0014326,400ft aquifer
5824942.2,2088128.6,38.415232,Salinas aquitard
5824942.2,2088128.6,28.475232000000005,180ft aquifer
5824942.2,2088128.6,-83.71476799999999,Middle aquitard
5824942.2,2088128.6,-204.204768,400ft aquifer
5824374.2,2087382.1,-2.544177999999988,180ft aquifer
5824374.2,2087382.1,-73.244178,Middle aquitard
