BoreholeID,IntervalTop_Depth,IntervalBase_Depth,HydrostratigraphicUnit
903,268.8, ---,Middle aquitard
903, ---,92.54,Shallow aquifer
911,48.48,109.48,180ft aquifer
911,109.48,140.86,Middle aquitard
911,140.86, ---,400ft aquifer
911, ---,48.48,Salinas aquitard
915,107.18,238.33,180ft aquifer
915,238.33,297.1,Middle aquitard
915,297.1,402.87,400ft aquifer
915,402.87,719.88,Deep aquitard
915,719.88, ---,Paso Robles
915, ---,107.18,Salinas aquitard
920,138.4,221.81,180ft aquifer
920,221.81,337.51,Middle aquitard
920,337.51, ---,400ft aquifer
920, ---,138.4,Salinas aquitard
921,115.06,221.86,180ft aquifer
921,221.86,297.89,Middle aquitard
921,297.89,329.64,400ft aquifer
921,329.64, ---,Deep aquitard
921, ---,115.06,Salinas aquitard
924,20.29,48.56,Salinas aquitard
924,48.56,185.64,180ft aquifer
924,185.64,316.37,Middle aquitard
924,316.37,532.18,400ft aquifer
924,532.18,557.18,Deep aquitard
924,557.18, ---,Paso Robles
924, ---,20.29,Shallow aquifer
931,22.69,122.55,Salinas aquitard
931,122.55,232.56,180ft aquifer
931,232.56,283.53,Middle aquitard
931,283.53,542.58,400ft aquifer
931,542.58, ---,Deep aquitard
931, ---,22.69,Shallow aquifer
932,27.08,181.16,Salinas aquitard
932,181.16,254.76,180ft aquifer
932,254.76,301.44,Middle aquitard
932,301.44,547.37,400ft aquifer
932,547.37, ---,Deep aquitard
932, ---,27.08,Shallow aquifer
934,116.09,167.79,Salinas aquitard
934,167.79,229.17,180ft aquifer
934,229.17,321.91,Middle aquitard
934,321.91,515.98,400ft aquifer
934,515.98, ---,Deep aquitard
934, ---,116.09,Shallow aquifer
960,58.24,106.81,Salinas aquitard
960,106.81,199.39,180ft aquifer
960,199.39,354.28,Middle aquitard
960,354.28,533.62,400ft aquifer
960,533.62, ---,Deep aquitard
960, ---,58.24,Shallow aquifer
964,212.12,379.94,180ft aquifer
964,379.94,413.83,Middle aquitard
964,413.83,557.44,400ft aquifer
964,557.44, ---,Deep aquitard
964, ---,212.12,Salinas aquitard
965,47.73,102.03,180ft aquifer
965,102.03,118,Middle aquitard
965,118, ---,400ft aquifer
965, ---,47.73,Salinas aquitard
967,96.01,203.21,Salinas aquitard
