BoreholeID,Easting,Northing,Elevation,TotalDepth,AlternateID
23686,5760539.4,2204362.2,201.3540825,580.028304,12S02E34C50
23703,5866025.8,2014508.6,948.3594752,800.03904,18S06E30F50
23802,5999088.8,1889907.2,423.6624841,121.0059048,22S10E21E50
23813,5758618,2174018.4,30.49833295,273.0133224,13S02E27N50
23814,5757321.9,2174052.1,39.15050975,273.0133224,13S02E28R51
23815,5761075.6,2164941.6,22.55658193,273.0133224,14S02E03K50
23816,5768231.9,2167208.4,36.46251713,273.0133224,14S02E02A50
23817,5763862.6,2166086.5,30.11914591,273.0133224,14S02E02E50
23819,5749676.3,2178149.7,13.20936604,273.0133224,13S02E29C50
23820,5756133.1,2177998.5,12.69040646,273.0133224,13S02E28B50
23821,5762113.6,2155677.9,22.76001957,273.0133224,14S02E15A50
23823,5765058.5,2168566.7,11.79103955,273.0133224,13S02E35P50
23825,5745548.6,2173016.5,12.22485758,273.0133224,13S02E31B50
23826,5772076.1,2162042.7,62.87804515,273.0133224,14S02E12B50
23827,5763491.2,2155630.8,22.96979963,273.0133224,14S02E14E50
23828,5757321.9,2174052.1,39.15050975,273.0133224,13S02E28R52
23829,5765154.1,2162287.7,23.43445441,273.0133224,14S02E11C50
23834,5784567.1,2142922.9,42.69715674,69.0033672,14S03E28M03
23846,5784461.7,2140295.6,51.73699382,70.003416,14S03E33D03
23869,5993793.3,1892674.2,508.6196558,230.011224,22S10E17N53
23870,5846759.8,2090772.3,236.041064,600.02928,16S05E16D50
23875,5774696.3,2173605.3,168.1453379,400.01952,13S03E30N50
23876,5807985.3,2126171.7,73.21020835,600.02928,15S04E07K51
23877,5764407.6,2200305.2,259.3302185,600.02928,12S02E35N50
23880,5789768.6,2190356.5,320.1280323,700.03416,13S03E09J56
23882,5776506.9,2189302.5,373.7654921,460.022448,13S03E07P50
23883,5781815.1,2187865.4,214.0096291,300.01464,13S03E17C54
23884,5778986.4,2181355.5,109.495385,403.0196664,13S03E19H52
23888,5781742,2185233.5,136.9803346,540.026352,13S03E17L55
23889,5765431.2,2186965.8,186.8265247,480.023424,13S02E14F52
23890,5868861.4,2064901.6,304.9424777,610.029768,17S06E06Q50
23893,5895005.3,2004869.8,316.2031808,800.03904,19S06E01A50
23896,5840062,2086855.2,137.8117889,650.03172,16S05E18R50
23897,5796737.6,2158517.5,132.2442044,690.033672,14S03E11L50
23898,5949314.7,1957178.5,322.8825749,120.005856,20S08E14P50
239,5747520.9,2156857.3,22.24756355,500.0244,14S/02E-08M02
23905,5769583.7,2194849,181.0791248,460.022448,13S02E01N52
23906,5769389,2185547.6,224.2304136,420.020496,13S02E13M52
23907,5779240.4,2190566,212.7434987,520.025376,13S03E07J54
23914,5756384.5,2188514.7,9.907685917,720.035136,13S02E16B50
23918,5756353.7,2187194.8,68.91778451,730.035624,13S02E16G50
23919,5779443.8,2199980.2,216.8478278,400.01952,12S03E31R51
23922,5778849.6,2176110,93.70803613,300.01464,13S03E30H52
23929,5780682.8,2194533.2,350.8288345,600.02928,13S03E05N54
23930,5765296.8,2180391.9,112.0338787,400.01952,13S02E23L51
23939,5779204.5,2189242.9,195.2062123,350.01708,13S03E07R50
23940,5788571.1,2194396.9,606.8045997,700.03416,13S03E04Q50
23941,5787107.8,2189078,317.7711439,770.037576,13S03E09P53
23942,5781889.1,2190516,376.3842876,490.023912,13S03E08L51
23943,5786877.1,2179845.9,291.1738698,540.026352,13S03E21L52
23945,5781705.4,2183917.6,185.6538503,295.014396,13S03E17P52
23946,5780321.8,2181322.6,85.15151812,500.0244,13S03E20E52
23947,5777855.7,2189272.7,470.0033922,680.033184,13S03E07Q50
23948,5769359.7,2184232,150.403079,630.030744,13S02E13N53
23949,5778849.6,2176110,93.70803613,370.018056,13S03E30H53
23954,5764380.7,2198988.9,147.5896993,400.01952,13S02E02D52
23955,5766901.4,2194955,103.3041098,560.027328,13S02E02Q53
23956,5768102.6,2189547.4,243.9465878,425.02074,13S02E11R50
23957,5780644.5,2193191,310.1351368,540.026352,13S03E08D52
23958,5787261,2194423.3,568.7286712,440.021472,13S03E04P50
23959,5873591.6,2044741.8,178.4590026,500.0244,17S06E29K03
23960,5768208.1,2194904.3,190.1282612,530.025864,13S02E02R03
23972,5766740.6,2186933.5,260.3326896,480.023424,13S02E14G02
23973,5761479.6,2185746.8,64.85401309,500.0244,13S02E15K01
23979,5768051.1,2186901.2,268.7834548,350.01708,13S02E14H02
23980,5777632.2,2181388.7,235.0282047,440.021472,13S03E19G02
23981,5785652,2183821,207.45443,460.022448,13S03E16N04
23982,5772509.2,2196086.4,348.5131232,497.0242536,13S02E01K02
